,RANK,NAME,PRICE,MARKET CAP,VOLUME(24H),SUPPLY
1,38,APE,$4.22,"$1,553,157,733",$1.55B,"368,593,750 APE"
2,40,ICP,$4.94,"$1,474,463,656",$1.47B,"298,510,029 ICP"
3,45,MANA,$0.6071,"$1,126,058,767",$1.13B,"1,855,084,192 MANA"
4,46,STX,$0.8134,"$1,117,270,753",$1.12B,"1,372,432,440 STX"
5,49,THETA,$1.06,"$1,057,312,281",$1.06B,"1,000,000,000 THETA"
6,50,CFX,$0.3779,"$1,049,842,533",$1.05B,"2,781,605,086 CFX"
7,51,XTZ,$1.10,"$1,029,336,802",$1.03B,"933,478,723 XTZ"
8,52,FLOW,$0.9939,"$1,029,904,210",$1.03B,"1,036,200,000 FLOW"
9,54,AXS,$8.64,"$1,001,131,851",$1.00B,"115,949,113 AXS"
10,55,SAND,$0.6454,"$967,010,567",$967.01M,"1,499,470,108 SAND"
11,56,CHZ,$0.1405,"$943,404,682",$943.40M,"6,788,674,440 CHZ"
12,57,IMX,$1.03,"$896,305,519",$896.31M,"868,583,515 IMX"
13,69,CAKE,$3.66,"$684,620,604",$684.62M,"187,306,002 CAKE"
14,89,RNDR,$1.29,"$466,073,854",$466.07M,"361,444,954 RNDR"
15,91,ENJ,$0.4642,"$463,005,146",$463.01M,"1,000,000,000 ENJ"
16,98,MASK,$5.40,"$400,825,320",$400.83M,"74,162,500 MASK"
17,111,ROSE,$0.05905,"$337,628,496",$337.63M,"5,725,718,533 ROSE"
18,126,FET,$0.3445,"$281,942,078",$281.94M,"818,912,300 FET"
19,127,GALA,$0.04005,"$279,467,994",$279.47M,"6,977,205,436 GALA"
20,140,SUSHI,$1.13,"$250,058,535",$250.06M,"222,257,372 SUSHI"
21,143,BLUR,$0.5601,"$242,269,990",$242.27M,"432,240,038 BLUR"
22,150,GMT,$0.3789,"$227,328,972",$227.33M,"600,000,000 GMT"
23,171,WAXP,$0.07538,"$183,610,891",$183.61M,"2,438,921,200 WAXP"
24,176,CKB,$0.004325,"$174,109,420",$174.11M,"40,291,146,968 CKB"
25,182,DGB,$0.009464,"$152,843,440",$152.84M,"16,142,460,047 DGB"
26,184,ILV,$59.23,"$150,146,083",$150.15M,"2,528,661 ILV"
27,190,RLC,$1.67,"$135,435,685",$135.44M,"80,999,785 RLC"
28,200,TRAC,$0.346,"$126,513,748",$126.51M,"365,481,590 TRAC"
29,219,WEMIX,$1.27,"$314,204,415",$314.20M,"246,649,655 WEMIX"
30,230,SURE,$0.006975,"$189,671,180",$189.67M,"26,790,063,175 SURE"
31,233,LYXe,$9.69,"$150,027,769",$150.03M,"15,475,916 LYXe"
32,243,SYS,$0.1607,"$121,116,974",$121.12M,"753,571,731 SYS"
33,245,ALI,$0.03322,"$119,191,020",$119.19M,"3,588,163,660 ALI"
34,251,SLP,$0.002738,"$115,686,568",$115.69M,"42,253,763,441 SLP"
35,258,CHR,$0.1628,"$111,790,313",$111.79M,"686,549,902 CHR"
36,263,COCOS,$1.53,"$108,559,318",$108.56M,"71,051,748 COCOS"
37,267,NFT,$0.0000003792,"$105,064,712",$105.06M,"277,080,562,500,000 NFT"
38,279,PYR,$3.64,"$98,998,491",$99.00M,"27,182,227 PYR"
39,284,UOS,$0.3188,"$96,835,079",$96.84M,"303,793,578 UOS"
40,292,WILD,$0.3744,"$93,483,951",$93.48M,"249,690,684 WILD"
41,296,MBOX,$0.4903,"$91,275,121",$91.28M,"186,168,696 MBOX"
42,322,ALICE,$1.65,"$79,518,545",$79.52M,"48,068,157 ALICE"
43,332,RACA,$0.000224,"$74,952,974",$74.95M,"334,651,566,604 RACA"
44,337,TLM,$0.02084,"$72,971,599",$72.97M,"3,501,387,263 TLM"
45,343,VOLT,$0.000001273,"$69,752,435",$69.75M,"54,766,287,142,827 VOLT"
46,345,LOOKS,$0.1477,"$69,262,918",$69.26M,"469,539,052 LOOKS"
47,346,CEEK,$0.08606,"$69,343,049",$69.34M,"805,717,779 CEEK"
48,350,BSW,$0.1833,"$68,358,400",$68.36M,"373,023,661 BSW"
49,358,VRA,$0.006213,"$64,068,157",$64.07M,"10,305,680,354 VRA"
50,359,OGN,$0.1249,"$63,618,740",$63.62M,"509,557,665 OGN"
51,364,XCAD,$1.53,"$62,570,914",$62.57M,"40,922,442 XCAD"
52,376,YGG,$0.2601,"$58,837,228",$58.84M,"226,244,712 YGG"
53,391,SUPER,$0.1371,"$55,381,503",$55.38M,"403,829,654 SUPER"
54,402,DAR,$0.1703,"$52,873,589",$52.87M,"310,491,258 DAR"
55,417,EFI,$0.07869,"$48,949,363",$48.95M,"622,052,170 EFI"
56,419,GHST,$1.07,"$48,428,133",$48.43M,"45,096,312 GHST"
57,428,GODS,$0.2221,"$46,470,092",$46.47M,"209,191,180 GODS"
58,441,LTO,$0.1069,"$44,165,143",$44.17M,"412,958,983 LTO"
59,443,RARE,$0.122,"$43,800,073",$43.80M,"359,147,763 RARE"
60,461,TVK,$0.04028,"$40,282,487",$40.28M,"1,000,380,426 TVK"
61,463,SWEAT,$0.009032,"$40,062,781",$40.06M,"4,442,531,114 SWEAT"
62,465,TLOS,$0.1474,"$39,827,886",$39.83M,"270,123,444 TLOS"
63,470,BAKE,$0.2001,"$38,719,784",$38.72M,"193,529,260 BAKE"
64,472,POLIS,$0.2501,"$38,267,964",$38.27M,"153,005,849 POLIS"
65,481,LOKA,$0.4997,"$52,740,642",$52.74M,"105,542,307 LOKA"
66,483,UFO,$0.000001411,"$36,348,999",$36.35M,"25,757,575,757,576 UFO"
67,494,ERN,$2.03,"$35,607,609",$35.61M,"17,539,155 ERN"
68,521,ATLAS,$0.003276,"$32,142,758",$32.14M,"9,803,356,511 ATLAS"
69,532,YOOSHI,$0.00000008307,"$31,032,204",$31.03M,"373,352,311,649,005 YOOSHI"
70,543,DEGO,$2.10,"$29,826,135",$29.83M,"14,166,092 DEGO"
71,546,VOXEL,$0.2522,"$29,574,629",$29.57M,"117,260,798 VOXEL"
72,554,VIDT,$0.03759,"$28,941,249",$28.94M,"770,011,370 VIDT"
73,560,GMT,$0.1084,"$28,580,356",$28.58M,"263,581,074 GMT"
74,562,GMM,$0.001365,"$28,291,353",$28.29M,"20,801,360,198 GMM"
75,565,SPS,$0.02899,"$27,808,189",$27.81M,"959,793,721 SPS"
76,579,FIO,$0.03478,"$26,223,665",$26.22M,"752,414,893 FIO"
